Index	Label	Hemisphere
351	17Networks_RH_ContC_pCun_1	RH
352	17Networks_RH_ContC_pCun_2	RH
353	17Networks_RH_ContC_pCun_3	RH
354	17Networks_RH_ContC_pCun_4	RH
355	17Networks_RH_ContC_pCun_5	RH
356	17Networks_RH_ContC_Cingp_1	RH
357	17Networks_RH_ContC_Cingp_2	RH
358	17Networks_RH_DefaultA_Temp_1	RH
359	17Networks_RH_DefaultA_IPL_1	RH
360	17Networks_RH_DefaultA_IPL_2	RH
361	17Networks_RH_DefaultA_PFCd_1	RH
362	17Networks_RH_DefaultA_PFCd_2	RH
363	17Networks_RH_DefaultA_pCunPCC_1	RH
364	17Networks_RH_DefaultA_pCunPCC_2	RH
365	17Networks_RH_DefaultA_pCunPCC_3	RH
366	17Networks_RH_DefaultA_pCunPCC_4	RH
367	17Networks_RH_DefaultA_pCunPCC_5	RH
368	17Networks_RH_DefaultA_PFCm_1	RH
369	17Networks_RH_DefaultA_PFCm_2	RH
370	17Networks_RH_DefaultA_PFCm_3	RH
371	17Networks_RH_DefaultA_PFCm_4	RH
372	17Networks_RH_DefaultA_PFCm_5	RH
373	17Networks_RH_DefaultA_PFCm_6	RH
374	17Networks_RH_DefaultB_Temp_1	RH
375	17Networks_RH_DefaultB_Temp_2	RH
376	17Networks_RH_DefaultB_AntTemp_1	RH
377	17Networks_RH_DefaultB_PFCd_1	RH
378	17Networks_RH_DefaultB_PFCd_2	RH
379	17Networks_RH_DefaultB_PFCd_3	RH
380	17Networks_RH_DefaultB_PFCd_4	RH
381	17Networks_RH_DefaultB_PFCd_5	RH
382	17Networks_RH_DefaultB_PFCv_1	RH
383	17Networks_RH_DefaultB_PFCv_2	RH
384	17Networks_RH_DefaultB_PFCv_3	RH
385	17Networks_RH_DefaultC_IPL_1	RH
386	17Networks_RH_DefaultC_IPL_2	RH
387	17Networks_RH_DefaultC_Rsp_1	RH
388	17Networks_RH_DefaultC_Rsp_2	RH
389	17Networks_RH_DefaultC_PHC_1	RH
390	17Networks_RH_DefaultC_PHC_2	RH
391	17Networks_RH_TempPar_1	RH
392	17Networks_RH_TempPar_2	RH
393	17Networks_RH_TempPar_3	RH
394	17Networks_RH_TempPar_4	RH
395	17Networks_RH_TempPar_5	RH
396	17Networks_RH_TempPar_6	RH
397	17Networks_RH_TempPar_7	RH
398	17Networks_RH_TempPar_8	RH
399	17Networks_RH_TempPar_9	RH
400	17Networks_RH_TempPar_10	RH
